,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
TBC1D91,0.007096287,0.107726757,0.103,0.09,1,2,TBC1D9
DSC13,3.17E-206,1.063448766,0.591,0.333,6.65E-202,3,DSC1
NSUN52,6.52E-181,1.572736461,0.26,0.096,1.37E-176,3,NSUN5
VWC2L3,5.97E-180,0.687910782,0.787,0.543,1.25E-175,3,VWC2L
UCMA2,6.88E-163,1.299847734,0.345,0.161,1.44E-158,3,UCMA
TMEM1383,1.06E-132,0.537279033,0.843,0.662,2.21E-128,3,TMEM138
LGALS33,2.51E-124,0.341032298,0.723,0.462,5.27E-120,3,LGALS3
ANKRD263,3.95E-122,0.823898001,0.566,0.37,8.28E-118,3,ANKRD26
LINC004741,4.25E-112,0.310645456,0.836,0.629,8.91E-108,3,LINC00474
TKT2,1.84E-64,1.55611317,0.124,0.052,3.86E-60,3,TKT
GATAD2A2,1.35E-59,0.549521003,0.531,0.402,2.84E-55,3,GATAD2A
ATP5MJ1,3.23E-51,0.268056687,0.749,0.626,6.76E-47,3,ATP5MJ
NCEH13,1.61E-38,1.015763464,0.204,0.127,3.37E-34,3,NCEH1
ZNHIT13,9.65E-36,0.9338651,0.23,0.154,2.02E-31,3,ZNHIT1
PRKCD1,5.01E-31,1.722730112,0.062,0.026,1.05E-26,3,PRKCD
RHBDL22,7.60E-28,0.902662034,0.19,0.126,1.59E-23,3,RHBDL2
PTTG12,1.31E-25,0.146271592,0.462,0.359,2.74E-21,3,PTTG1
TPO2,6.10E-25,0.681809956,0.151,0.095,1.28E-20,3,TPO
POSTN2,1.55E-20,1.208300788,0.07,0.037,3.24E-16,3,POSTN
CYS1,3.96E-19,0.179599824,0.492,0.407,8.30E-15,3,CYS1
SCCPDH2,2.53E-18,0.470409104,0.258,0.199,5.30E-14,3,SCCPDH
EMC42,3.35E-18,1.293429091,0.107,0.068,7.02E-14,3,EMC4
RAB132,1.74E-14,0.75064564,0.053,0.029,3.64E-10,3,RAB13
TTC52,8.24E-11,0.659147134,0.156,0.122,1.73E-06,3,TTC5
MAP2K22,3.03E-10,0.996687683,0.073,0.049,6.35E-06,3,MAP2K2
CCDC1062,4.25E-09,0.467450079,0.34,0.315,8.90E-05,3,CCDC106
BFSP2-AS12,2.10E-08,0.633806805,0.195,0.164,0.00044108,3,BFSP2-AS1
LATS22,3.50E-08,0.108203897,0.582,0.511,0.00073404,3,LATS2
ATP6AP1-DT1,2.80E-07,1.157904761,0.037,0.023,0.00586977,3,ATP6AP1-DT
KCNB12,8.23E-07,0.208627501,0.385,0.351,0.017257118,3,KCNB1
MEDAG2,1.17E-06,1.468737142,0.031,0.019,0.024583386,3,MEDAG
GPR61,0.000481137,0.132589203,0.053,0.071,1,3,GPR6
RHBG2,0.006729459,0.685470543,0.06,0.05,1,3,RHBG
FGD11,0,3.508488539,0.792,0.117,0,4,FGD1
CTDP12,0,2.635550527,0.909,0.258,0,4,CTDP1
XPNPEP31,0,4.217881317,0.704,0.059,0,4,XPNPEP3
PTTG13,0,2.446414824,0.956,0.323,0,4,PTTG1
LYL11,0,1.210790778,0.916,0.344,0,4,LYL1
LINC01597,0,1.190059258,0.809,0.238,0,4,LINC01597
UBA521,0,1.712792482,0.743,0.172,0,4,UBA52
SLC35D22,0,1.13329911,0.93,0.363,0,4,SLC35D2
LINC028131,0,1.669819276,0.996,0.431,0,4,LINC02813
TMEM207,0,0.603693723,0.875,0.321,0,4,TMEM207
GLRA21,0,3.038692556,0.688,0.134,0,4,GLRA2
LGALS34,0,2.287648914,0.982,0.444,0,4,LGALS3
ATP1B32,0,3.169704753,0.595,0.065,0,4,ATP1B3
EPB41L4A1,0,1.475467417,0.734,0.205,0,4,EPB41L4A
SLC17A11,0,1.537303523,0.774,0.259,0,4,SLC17A1
ATP6V0A4,0,0.917923584,0.734,0.221,0,4,ATP6V0A4
TMC2,0,0.658875823,0.845,0.337,0,4,TMC2
ACLY1,0,4.110046379,0.532,0.031,0,4,ACLY
SLC52A1,0,0.232264502,0.817,0.324,0,4,SLC52A1
DSC14,0,1.169293332,0.809,0.318,0,4,DSC1
SH3BP12,0,1.370862239,0.756,0.271,0,4,SH3BP1
CAB391,0,1.532751026,0.677,0.198,0,4,CAB39
CCDC1063,0,1.308997726,0.76,0.284,0,4,CCDC106
GATAD2A3,0,1.767722756,0.851,0.379,0,4,GATAD2A
AMPD32,0,3.24043356,0.527,0.057,0,4,AMPD3
FIBIN1,0,1.345269051,0.752,0.29,0,4,FIBIN
NMT12,0,0.590792919,0.896,0.445,0,4,NMT1
PSMB102,0,1.231741886,0.694,0.247,0,4,PSMB10
EPHA22,0,0.819595257,0.902,0.46,0,4,EPHA2
